timestamp,src_ip,dst_ip,dst_port,proto,bytes_sent,bytes_recv,duration_sec
2026-09-20T00:00:53,10.20.0.19,93.184.215.12,443,tcp,3721,38509,7.32
2026-09-20T00:01:29,10.20.0.20,93.184.216.35,443,tcp,2991,47485,2.21
2026-09-20T00:05:24,10.20.0.37,93.184.216.34,80,tcp,5400,44025,8.4
2026-09-20T00:07:35,10.20.0.34,93.184.216.34,443,tcp,3992,44638,8.66
2026-09-20T00:11:19,10.20.0.27,93.184.216.35,80,tcp,5548,31675,5.78
2026-09-20T00:14:11,10.20.0.34,93.184.216.35,80,tcp,2987,18710,1.95
2026-09-20T00:17:41,10.20.0.28,93.184.216.34,443,tcp,6304,33053,10.01
2026-09-20T00:20:31,10.20.0.38,93.184.214.88,443,tcp,5750,36321,1.98
2026-09-20T00:20:57,10.20.0.20,93.184.216.34,80,tcp,7155,48870,8.75
2026-09-20T00:21:07,10.20.0.13,93.184.216.34,443,tcp,4669,2861,10.03
2026-09-20T00:24:58,10.20.0.18,93.184.215.12,443,tcp,708,44264,1.51
2026-09-20T00:26:47,10.20.0.28,93.184.215.12,80,tcp,4121,29366,4.15
2026-09-20T00:26:50,10.20.0.17,93.184.216.34,80,tcp,3181,25598,11.05
2026-09-20T00:33:29,10.20.0.16,93.184.216.35,443,tcp,6318,49935,5.8
2026-09-20T00:34:10,10.20.0.17,93.184.216.35,443,tcp,1026,39424,0.5
2026-09-20T00:42:40,10.20.0.37,93.184.214.88,80,tcp,248,23552,3.65
2026-09-20T01:03:14,10.20.0.11,93.184.215.12,443,tcp,2603,23992,4.56
2026-09-20T01:03:24,10.20.0.22,93.184.215.12,80,tcp,6132,11316,10.1
2026-09-20T01:04:24,10.20.0.22,93.184.214.88,443,tcp,3099,14571,10.91
2026-09-20T01:12:59,10.20.0.19,93.184.216.34,443,tcp,2339,7363,0.98
2026-09-20T01:19:23,10.20.0.36,93.184.214.88,80,tcp,1726,49586,11.55
2026-09-20T01:19:59,10.20.0.34,93.184.216.35,443,tcp,3124,3632,10.4
2026-09-20T01:21:17,10.20.0.19,93.184.214.88,443,tcp,996,15887,10.66
2026-09-20T01:21:28,10.20.0.39,93.184.216.35,80,tcp,7427,12020,11.21
2026-09-20T01:27:09,10.20.0.38,93.184.215.12,443,tcp,5787,16853,8.04
2026-09-20T01:32:57,10.20.0.17,93.184.216.35,443,tcp,4095,18266,0.65
2026-09-20T01:34:43,10.20.0.33,93.184.215.12,80,tcp,5470,2541,0.82
2026-09-20T01:36:57,10.20.0.32,93.184.214.88,443,tcp,4459,35787,8.27
2026-09-20T01:39:25,10.20.0.11,93.184.215.12,443,tcp,5425,49834,5.94
2026-09-20T01:40:57,10.20.0.17,93.184.214.88,443,tcp,7161,5272,5.52
2026-09-20T01:45:58,10.20.0.34,93.184.216.34,80,tcp,1326,41833,2.85
2026-09-20T01:47:40,10.20.0.33,93.184.214.88,443,tcp,7548,24908,0.34
2026-09-20T01:48:42,10.20.0.31,93.184.216.34,443,tcp,3829,43880,5.15
2026-09-20T01:52:14,10.20.0.18,93.184.214.88,443,tcp,6934,4782,4.87
2026-09-20T01:59:40,10.20.0.10,93.184.216.35,443,tcp,7944,14343,9.23
2026-09-20T02:01:03,10.20.0.36,93.184.216.34,443,tcp,1453,20431,2.06
2026-09-20T02:01:32,10.20.0.24,93.184.216.35,443,tcp,3603,30436,6.81
2026-09-20T02:02:08,10.20.0.34,93.184.216.35,443,tcp,7134,25955,4.32
2026-09-20T02:04:56,10.20.0.77,185.220.101.42,443,tcp,373,208,0.47
2026-09-20T02:08:05,10.20.0.15,93.184.214.88,443,tcp,3398,17880,11.13
2026-09-20T02:09:53,10.20.0.77,185.220.101.42,443,tcp,352,208,0.55
2026-09-20T02:12:05,10.20.0.35,93.184.214.88,443,tcp,2546,41694,8.58
2026-09-20T02:13:09,10.20.0.27,93.184.216.35,80,tcp,4753,32981,0.66
2026-09-20T02:14:46,10.20.0.77,185.220.101.42,443,tcp,355,181,0.44
2026-09-20T02:16:01,10.20.0.16,93.184.214.88,80,tcp,7612,38778,11.36
2026-09-20T02:16:03,10.20.0.32,93.184.216.35,443,tcp,1898,37258,3.97
2026-09-20T02:18:20,10.20.0.35,93.184.214.88,443,tcp,3719,14383,5.99
2026-09-20T02:19:31,10.20.0.18,93.184.216.34,80,tcp,3928,33974,4.39
2026-09-20T02:19:49,10.20.0.77,185.220.101.42,443,tcp,352,188,0.41
2026-09-20T02:24:55,10.20.0.77,185.220.101.42,443,tcp,372,192,0.49
2026-09-20T02:26:23,10.20.0.12,93.184.214.88,443,tcp,3455,36679,3.98
2026-09-20T02:27:14,10.20.0.38,93.184.216.34,443,tcp,780,34195,2.93
2026-09-20T02:28:05,10.20.0.21,93.184.215.12,443,tcp,6101,583,0.67
2026-09-20T02:28:27,10.20.0.31,93.184.216.35,80,tcp,1182,37834,3.03
2026-09-20T02:29:50,10.20.0.77,185.220.101.42,443,tcp,341,187,0.41
2026-09-20T02:31:56,10.20.0.11,93.184.216.35,443,tcp,853,15756,10.41
2026-09-20T02:34:56,10.20.0.77,185.220.101.42,443,tcp,351,210,0.56
2026-09-20T02:35:07,10.20.0.26,93.184.216.34,443,tcp,7850,21240,1.67
2026-09-20T02:38:28,10.20.0.10,93.184.214.88,443,tcp,4812,7052,0.97
2026-09-20T02:38:59,10.20.0.16,93.184.216.35,80,tcp,1911,22321,3.71
2026-09-20T02:39:27,10.20.0.10,93.184.216.34,443,tcp,2347,14638,0.57
2026-09-20T02:39:59,10.20.0.77,185.220.101.42,443,tcp,362,185,0.55
2026-09-20T02:41:34,10.20.0.24,93.184.214.88,443,tcp,3483,35520,6.13
